Año,Región,Provincia,Comuna,Rubro,CIIU,Contaminante,Emision,Huso,latitud,longitud
"2,020",Valparaíso,Marga Marga,Limache,Otras industrias manufactureras,"Elaboración de cacao, chocolate y de productos de confitería",Carbon dioxide,77.12,19,-33.00412587,-71.26090546
"2,020",Valparaíso,San Felipe de Aconcagua,San Felipe,Otras industrias manufactureras,Otras industrias manufactureras n.c.p.,Carbon dioxide,76.79,19,-32.81222552,-70.69452987
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Carbon dioxide,76.75,19,-33.0955005,-70.25441905
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Carbon dioxide,76.75,19,-33.0955005,-70.25441905
"2,020",Valparaíso,Valparaíso,Concón,Refinería de petróleo,Fabricación de productos de la refinación del petróleo,Nitrogen oxides (NOx),76.53,19,-32.92439011,-71.50675531
"2,020",Valparaíso,Valparaíso,Viña del Mar,"Industria química, de plástico y caucho","Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",Carbon dioxide,75.55,19,-33.04467907,-71.51640097
"2,020",Valparaíso,San Antonio,Algarrobo,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,75.43,19,-33.36975807,-71.66932855
"2,020",Valparaíso,San Antonio,Algarrobo,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,75.43,19,-33.36975807,-71.66932855
"2,020",Valparaíso,Quillota,Hijuelas,Producción agropecuaria,Propagación de plantas,Nitrogen oxides (NOx),74.96,19,-32.83015107,-71.12656948
"2,020",Valparaíso,San Felipe de Aconcagua,Santa María,Otras actividades,Actividades de alojamiento para estancias cortas,Carbon dioxide,74.81,19,-32.6852577,-70.59456123
"2,020",Valparaíso,Valparaíso,Valparaíso,Gestores de residuos,Tratamiento y eliminación de desechos no peligrosos,Nitrogen oxides (NOx),74.25,19,-33.08224704,-71.64760162
"2,020",Valparaíso,Valparaíso,Quintero,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Nitrogen oxides (NOx),72.2,19,-32.7862605,-71.48494815
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,71.06,19,-33.05671732,-71.58987477
"2,020",Valparaíso,San Felipe de Aconcagua,Santa María,Otras actividades,Actividades de alojamiento para estancias cortas,Carbon dioxide,70.52,19,-32.6852577,-70.59456123
"2,020",Valparaíso,San Felipe de Aconcagua,Catemu,Minería,Extracción y procesamiento de cobre,Carbon dioxide,70.37,19,-32.72097881,-70.96287872
"2,020",Valparaíso,San Felipe de Aconcagua,Putaendo,Otras actividades,Actividades de hospitales públicos y privados,Carbon dioxide,70.35,19,-32.62673964,-70.71434486
"2,020",Valparaíso,Valparaíso,Valparaíso,Otras actividades,Actividades de servicios vinculadas al transporte acuático,Carbon dioxide,70.3,19,-33.03261037,-71.6297807
"2,020",Valparaíso,Valparaíso,Viña del Mar,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,70.13,19,-33.02581251,-71.54677659
"2,020",Valparaíso,Valparaíso,Viña del Mar,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,70.13,19,-33.02581251,-71.54677659
"2,020",Valparaíso,Quillota,Calera,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.67,19,-32.78776875,-71.19486962
"2,020",Valparaíso,San Felipe de Aconcagua,San Felipe,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.67,19,-32.75423067,-70.70865069
"2,020",Valparaíso,San Felipe de Aconcagua,San Felipe,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.67,19,-32.75423067,-70.70865069
"2,020",Valparaíso,Valparaíso,Concón,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.67,19,-32.93245695,-71.51783842
"2,020",Valparaíso,Valparaíso,Concón,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.67,19,-32.93245695,-71.51783842
"2,020",Valparaíso,Valparaíso,Concón,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.67,19,-32.93245695,-71.51783842
"2,020",Valparaíso,San Felipe de Aconcagua,Catemu,Minería,Extracción y procesamiento de cobre,Carbon dioxide,69.47,19,-32.77180753,-70.99369127
"2,020",Valparaíso,San Felipe de Aconcagua,Llaillay,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.22,19,-32.83676812,-70.96798744
"2,020",Valparaíso,Los Andes,Los Andes,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.22,19,-32.83166878,-70.60222637
"2,020",Valparaíso,Los Andes,Los Andes,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.22,19,-32.83166878,-70.60222637
"2,020",Valparaíso,Marga Marga,Villa Alemana,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.22,19,-33.04436587,-71.37657981
"2,020",Valparaíso,Marga Marga,Villa Alemana,Comercio minorista,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",Carbon dioxide,69.22,19,-33.04436587,-71.37657981
